1,Mahendra Singh,Dhoni,msd34@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
2,Ambati,Rayudu,ambati@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
3,KM ,Asif,kmasif@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
4,Deepak,Chahahr,dpchahar@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
5,Dwayne,Bravo,djbravo@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
6,Faf du,Plessis,duplessis@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
7,Imran,Tahir,tahirimran@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
8,N,Jagadeesan,njaggadessan@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
9,Karan,Sharma,sharmakaran@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
10,Kedhar,Jadhav,kjadhav@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
11,Lungi,Ngigi,ngidilungi@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
12,Mitchell,Santner,mitchellsantner@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
13,Monu,Kumar,monu1991@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
14,Murali,Vijay,mvijay@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
15,Ravindra,Jadeja,sirjadeja@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
16,Ruturaj,Gaikwad,rgaikwad@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
17,Shane,Watson,mrwatson@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
18,Shardul,Thakur,sthakur@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
19,Sam,Curran,samcurran@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
20,Piyush,Chawla,pchawla@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
21,Josh,Hazlewood,jhazlewood@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
22,R Sai,Kishor,saikishor@gmail.com,1,2020-09-19T09:14:13.311Z,2020-09-19T09:14:13.311Z
